"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"2" 87 0 2 85 0
"3" 87 0 3 84 0
"4" 87 0 1 86 0
"5" 91 0 5 86 0
"6" 87 0 1 86 0
"7" 89 0 3 86 0
"8" 91 0 3 88 0
"9" 85 0 1 84 0
"10" 89 0 4 85 0
"11" 88 0 2 86 0
"12" 86 0 1 85 0
"13" 89 0 2 87 0
"14" 87 0 2 85 0
"15" 91 0 4 87 0
"16" 84 0 0 84 0
"17" 86 0 1 85 0
"18" 85 0 1 84 0
"19" 87 0 1 86 0
"20" 86 0 1 85 0
"21" 87 0 3 84 0
"22" 89 0 2 87 0
"23" 91 0 3 88 0
"24" 86 0 2 84 0
"25" 85 0 2 83 0
"26" 86 0 1 85 0
"27" 89 0 2 87 0
"28" 87 0 2 85 0
"29" 92 0 3 89 0
"30" 90 0 4 86 0
"31" 88 0 2 86 0
"32" 88 0 2 86 0
"33" 85 0 1 84 0
"34" 86 0 1 85 0
"35" 85 0 1 84 0
"36" 84 0 0 84 0
"37" 87 0 2 85 0
"38" 90 0 3 87 0
"39" 84 0 0 84 0
"40" 88 0 3 85 0
"41" 84 0 1 83 0
"42" 84 0 0 84 0
"43" 84 0 0 84 0
"44" 90 0 4 86 0
"45" 84 0 0 84 0
"46" 86 0 1 85 0
"47" 88 0 2 86 0
"48" 85 0 1 84 0
"49" 87 0 1 86 0
"50" 87 0 1 86 0
"51" 88 0 1 87 0
"52" 86 0 3 83 0
"53" 87 0 2 85 0
"54" 88 0 2 86 0
"55" 85 0 1 84 0
"56" 92 0 4 88 0
"57" 84 0 0 84 0
"58" 88 0 2 86 0
"59" 91 0 4 87 0
"60" 86 0 0 86 0
"61" 86 0 1 85 0
"62" 88 0 2 86 0
"63" 91 0 4 87 0
"64" 86 0 1 85 0
"65" 87 0 2 85 0
"66" 86 0 2 84 0
"67" 88 0 3 85 0
"68" 89 0 2 87 0
"69" 86 0 1 85 0
"70" 87 0 3 84 0
"71" 88 0 2 86 0
"72" 90 0 3 87 0
"73" 90 0 3 87 0
"74" 86 0 1 85 0
"75" 93 0 6 87 0
"76" 86 0 1 85 0
"77" 86 0 1 85 0
"78" 85 0 1 84 0
"79" 86 0 2 84 0
"80" 88 0 3 85 0
"81" 87 0 2 85 0
"82" 91 0 3 88 0
"83" 92 0 4 88 0
"84" 90 0 3 87 0
"85" 90 0 3 87 0
"86" 85 0 1 84 0
"87" 85 0 0 85 0
"88" 85 0 2 83 0
"89" 90 0 3 87 0
"90" 90 0 3 87 0
"91" 84 0 0 84 0
"92" 90 0 2 88 0
"93" 87 0 3 84 0
"94" 86 0 1 85 0
"95" 86 0 2 84 0
"96" 93 0 5 88 0
"97" 86 0 2 84 0
"98" 86 0 2 84 0
"99" 88 0 3 85 0
"100" 91 0 3 88 0
"101" 87 0 2 85 0
"1" 92 0 1 91 0
"210" 95 0 4 91 0
"310" 97 0 7 90 0
